"Employee_ID";"First_Name";"Last_Name";"Age";"Status";"Join_Date";"Salary";"Email";"Phone";"Performance_Score";"Remote_Work";"Department";"Region"
"EMP1000";"Bob";"Davis";"25";"Active";"2021-04-02";59767.65;"bob.davis@example.com";"+1-1651623197";"Average";"TRUE";"DevOps";"California"
"EMP1001";"Bob";"Brown";"";"Active";"2020-07-10";65304.66;"bob.brown@example.com";"+1-1898471390";"Excellent";"TRUE";"Finance";"Texas"
"EMP1002";"Alice";"Jones";"";"Pending";"2023-12-07";88145.9;"alice.jones@example.com";"+1-5596363211";"Good";"TRUE";"Admin";"Nevada"
"EMP1003";"Eva";"Davis";"25";"Inactive";"2021-11-27";69450.99;"eva.davis@example.com";"+1-3476490784";"Good";"TRUE";"Admin";"Nevada"
"EMP1004";"Frank";"Williams";"25";"Active";"2022-01-05";109324.61;"frank.williams@example.com";"+1-1586734256";"Poor";"FALSE";"Cloud Tech";"Florida"
"EMP1005";"Alice";"Garcia";"40";"Inactive";"2020-06-10";88642.84;"alice.garcia@example.com";"+1-5409003485";"Good";"FALSE";"Sales";"Texas"
"EMP1006";"Frank";"Jones";"";"Active";"2020-04-03";96288.43;"frank.jones@example.com";"+1-4518376063";"Good";"FALSE";"Admin";"Nevada"
"EMP1007";"Bob";"Jones";"30";"Inactive";"2022-07-17";94497.91;"bob.jones@example.com";"+1-4134327559";"Average";"TRUE";"Cloud Tech";"Florida"
"EMP1008";"Frank";"Davis";"35";"Inactive";"2023-12-08";115565.82;"frank.davis@example.com";"+1-4177656123";"Excellent";"TRUE";"Admin";"Nevada"
"EMP1009";"Charlie";"Johnson";"";"Active";"2022-08-04";76561.88;"charlie.johnson@example.com";"+1-8156985699";"Excellent";"TRUE";"DevOps";"New York"
"EMP1010";"David";"Williams";"35";"Active";"2024-07-06";72081.71;"david.williams@example.com";"+1-2720634590";"Average";"FALSE";"Cloud Tech";"New York"
"EMP1011";"David";"Davis";"";"Active";"2023-09-04";84946.19;"david.davis@example.com";"+1-1238296576";"Poor";"TRUE";"DevOps";"California"
"EMP1012";"Heidi";"Williams";"30";"Active";"2024-03-05";89295.77;"heidi.williams@example.com";"+1-2429543164";"Excellent";"FALSE";"HR";"New York"
"EMP1013";"Grace";"Williams";"";"Active";"2020-10-10";85666.84;"grace.williams@example.com";"+1-2669300892";"Good";"FALSE";"Finance";"California"
"EMP1014";"Alice";"Garcia";"25";"Active";"2024-06-10";97633.68;"alice.garcia@example.com";"+1-1734206968";"Excellent";"TRUE";"Admin";"Nevada"
"EMP1015";"Grace";"Jones";"40";"Pending";"2021-05-29";117975.49;"grace.jones@example.com";"+1-4215291085";"Good";"TRUE";"Sales";"Florida"
"EMP1016";"Alice";"Brown";"25";"Inactive";"2024-04-23";94867.33;"alice.brown@example.com";"+1-7713334475";"Poor";"FALSE";"DevOps";"Illinois"
"EMP1017";"Grace";"Garcia";"30";"Pending";"2024-11-28";100377.65;"grace.garcia@example.com";"+1-2639343625";"Average";"TRUE";"Finance";"Texas"
"EMP1018";"Charlie";"Garcia";"";"Inactive";"2024-09-19";94726.46;"charlie.garcia@example.com";"+1-2044397358";"Excellent";"FALSE";"Cloud Tech";"Nevada"
"EMP1019";"Charlie";"Williams";"35";"Pending";"2020-01-02";91926.12;"charlie.williams@example.com";"+1-7107256365";"Average";"TRUE";"Admin";"Illinois"
"EMP1020";"Bob";"Miller";"35";"Active";"2021-05-08";111460.67;"bob.miller@example.com";"+1-9411800536";"Excellent";"TRUE";"HR";"New York"
"EMP1021";"Bob";"Jones";"40";"Active";"2020-09-19";96182.56;"bob.jones@example.com";"+1-5990048963";"Good";"FALSE";"Cloud Tech";"Illinois"
"EMP1022";"Charlie";"Johnson";"35";"Inactive";"2021-03-09";115023.94;"charlie.johnson@example.com";"+1-6528092427";"Average";"TRUE";"Sales";"Illinois"
"EMP1023";"David";"Garcia";"35";"Pending";"2022-02-03";80667.01;"david.garcia@example.com";"+1-7572158623";"Excellent";"FALSE";"Finance";"Nevada"
"EMP1024";"Bob";"Brown";"30";"Inactive";"2020-02-13";91181.61;"bob.brown@example.com";"+1-1502745643";"Good";"TRUE";"Admin";"Texas"
"EMP1025";"David";"Miller";"25";"Pending";"2020-04-30";66025.92;"david.miller@example.com";"+1-9485625727";"Average";"FALSE";"Cloud Tech";"Nevada"
"EMP1026";"Frank";"Miller";"25";"Inactive";"2023-10-02";83979.01;"frank.miller@example.com";"+1-7032032073";"Average";"FALSE";"Sales";"New York"
"EMP1027";"Heidi";"Johnson";"30";"Active";"2020-07-12";56785.16;"heidi.johnson@example.com";"+1-2761707586";"Excellent";"TRUE";"Finance";"Florida"
"EMP1028";"Grace";"Garcia";"40";"Active";"2023-10-11";95741.88;"grace.garcia@example.com";"+1-7712151341";"Excellent";"FALSE";"Finance";"Nevada"
"EMP1029";"Alice";"Brown";"40";"Active";"2021-05-24";63411.31;"alice.brown@example.com";"+1-2849939088";"Excellent";"TRUE";"DevOps";"California"
"EMP1030";"Charlie";"Jones";"40";"Inactive";"2021-05-26";111214.02;"charlie.jones@example.com";"+1-2613715040";"Good";"TRUE";"Admin";"California"
"EMP1031";"Bob";"Smith";"25";"Active";"2020-07-10";114845.69;"bob.smith@example.com";"+1-6591520176";"Excellent";"TRUE";"DevOps";"Illinois"
"EMP1032";"Charlie";"Brown";"40";"Active";"2024-11-05";78072.82;"charlie.brown@example.com";"+1-7490509758";"Average";"FALSE";"Finance";"Florida"
"EMP1033";"Grace";"Johnson";"25";"Inactive";"2021-08-07";79610.52;"grace.johnson@example.com";"+1-2304501895";"Average";"FALSE";"Finance";"California"
"EMP1034";"Heidi";"Miller";"30";"Active";"2020-04-29";90542.62;"heidi.miller@example.com";"+1-1642361031";"Excellent";"TRUE";"Admin";"California"
"EMP1035";"Frank";"Jones";"25";"Inactive";"2022-10-26";114357.1;"frank.jones@example.com";"+1-6642147648";"Excellent";"TRUE";"Cloud Tech";"Illinois"
"EMP1036";"Alice";"Brown";"";"Active";"2023-05-03";54757.26;"alice.brown@example.com";"+1-2515837766";"Poor";"FALSE";"Cloud Tech";"New York"
"EMP1037";"Grace";"Smith";"25";"Pending";"2023-05-02";52781.92;"grace.smith@example.com";"+1-4996165925";"Average";"TRUE";"Sales";"New York"
"EMP1038";"Frank";"Smith";"35";"Pending";"2021-10-05";66708.02;"frank.smith@example.com";"+1-6108573277";"Good";"TRUE";"Admin";"Nevada"
"EMP1039";"Eva";"Williams";"40";"Active";"2022-07-27";93481.15;"eva.williams@example.com";"+1-8147617421";"Poor";"FALSE";"HR";"Texas"
"EMP1040";"Bob";"Williams";"25";"Pending";"2021-06-27";59271.96;"bob.williams@example.com";"+1-4386490809";"Excellent";"TRUE";"Sales";"New York"
"EMP1041";"Bob";"Davis";"30";"Active";"2022-06-16";108362.15;"bob.davis@example.com";"+1-8186617944";"Excellent";"FALSE";"HR";"California"
"EMP1042";"Alice";"Johnson";"";"Active";"2024-12-03";59400.38;"alice.johnson@example.com";"+1-4918017225";"Average";"TRUE";"HR";"Nevada"
"EMP1043";"Bob";"Garcia";"";"Inactive";"2023-05-23";64744.08;"bob.garcia@example.com";"+1-164597793";"Excellent";"FALSE";"Admin";"California"
"EMP1044";"Eva";"Brown";"";"Active";"2020-07-08";94399.91;"eva.brown@example.com";"+1-5232194167";"Good";"TRUE";"Finance";"California"
"EMP1045";"Alice";"Brown";"25";"Pending";"2021-06-20";61310.74;"alice.brown@example.com";"+1-61027768";"Average";"TRUE";"HR";"New York"
"EMP1046";"Grace";"Garcia";"";"Active";"2024-12-13";98371.37;"grace.garcia@example.com";"+1-7499564121";"Excellent";"FALSE";"Cloud Tech";"Texas"
"EMP1047";"Alice";"Davis";"35";"Active";"2022-05-30";58921.19;"alice.davis@example.com";"+1-310303722";"Average";"TRUE";"Sales";"Illinois"
"EMP1048";"Alice";"Miller";"35";"Active";"2023-09-27";57195.55;"alice.miller@example.com";"+1-6831472759";"Excellent";"FALSE";"Admin";"Nevada"
"EMP1049";"Grace";"Miller";"";"Active";"2024-11-05";61375.12;"grace.miller@example.com";"+1-1227770792";"Excellent";"TRUE";"DevOps";"New York"
"EMP1050";"Charlie";"Davis";"40";"Pending";"2021-11-11";104767.05;"charlie.davis@example.com";"+1-3496050165";"Excellent";"FALSE";"Cloud Tech";"New York"
"EMP1051";"David";"Miller";"35";"Active";"2022-02-22";111051.67;"david.miller@example.com";"+1-7998407677";"Good";"FALSE";"Admin";"Nevada"
"EMP1052";"David";"Williams";"30";"Inactive";"2024-08-07";105674.18;"david.williams@example.com";"+1-9973080694";"Good";"FALSE";"Finance";"California"
"EMP1053";"Alice";"Brown";"30";"Inactive";"2024-11-05";54859.45;"alice.brown@example.com";"+1-8146717956";"Average";"FALSE";"Finance";"California"
"EMP1054";"Frank";"Davis";"";"Pending";"2021-11-09";115746.6;"frank.davis@example.com";"+1-6024375737";"Excellent";"TRUE";"Finance";"Nevada"
"EMP1055";"Eva";"Brown";"30";"Active";"2020-08-10";91759.99;"eva.brown@example.com";"+1-3959724664";"Excellent";"TRUE";"Sales";"California"
"EMP1056";"Frank";"Garcia";"40";"Active";"2022-02-27";112965.33;"frank.garcia@example.com";"+1-7293417222";"Good";"FALSE";"Sales";"Illinois"
"EMP1057";"Alice";"Smith";"40";"Pending";"2023-11-07";100360.1;"alice.smith@example.com";"+1-2971674337";"Excellent";"FALSE";"Cloud Tech";"Illinois"
"EMP1058";"David";"Williams";"35";"Pending";"2021-11-07";93620.88;"david.williams@example.com";"+1-54522800";"Good";"FALSE";"Finance";"Texas"
"EMP1059";"Bob";"Jones";"35";"Pending";"2022-04-16";72832.8;"bob.jones@example.com";"+1-5619318373";"Excellent";"TRUE";"Sales";"California"
"EMP1060";"Charlie";"Williams";"30";"Inactive";"2023-10-19";102369.42;"charlie.williams@example.com";"+1-5508428909";"Average";"TRUE";"Finance";"Nevada"
"EMP1061";"Eva";"Davis";"40";"Inactive";"2021-08-10";64712.79;"eva.davis@example.com";"+1-7711991807";"Excellent";"TRUE";"Sales";"Texas"
"EMP1062";"Frank";"Jones";"40";"Pending";"2021-03-13";85782.18;"frank.jones@example.com";"+1-1213524786";"Excellent";"TRUE";"Finance";"Florida"
"EMP1063";"Charlie";"Smith";"25";"Pending";"2023-07-20";93348.26;"charlie.smith@example.com";"+1-1255213759";"Poor";"FALSE";"HR";"Illinois"
"EMP1064";"David";"Davis";"35";"Active";"2020-02-20";53234.96;"david.davis@example.com";"+1-3754821455";"Good";"FALSE";"Admin";"New York"
"EMP1065";"Bob";"Johnson";"40";"Pending";"2021-02-02";100284.21;"bob.johnson@example.com";"+1-5328632665";"Excellent";"FALSE";"Finance";"Nevada"
"EMP1066";"Grace";"Brown";"30";"Pending";"2020-01-12";112486.19;"grace.brown@example.com";"+1-7850720810";"Excellent";"TRUE";"Admin";"Nevada"
"EMP1067";"Bob";"Smith";"40";"Pending";"2022-11-26";82518.49;"bob.smith@example.com";"+1-5562606028";"Poor";"TRUE";"Admin";"New York"
"EMP1068";"Bob";"Brown";"40";"Pending";"2022-12-23";119152.47;"bob.brown@example.com";"+1-846684549";"Poor";"TRUE";"Admin";"Florida"
"EMP1069";"Heidi";"Miller";"";"Inactive";"2024-08-28";113479.83;"heidi.miller@example.com";"+1-4892673898";"Good";"FALSE";"DevOps";"Illinois"
"EMP1070";"Charlie";"Johnson";"40";"Active";"2024-09-16";94636.3;"charlie.johnson@example.com";"+1-7563410855";"Poor";"FALSE";"Finance";"California"
